kode,name,root,report,type,group,parent_id
5.2.02.09.001,Belanja Modal Peralatan Olahraga,0,rincian,belanja,lra,234
5.2.03,Belanja Gedung dan Bangunan,0,jenis,belanja,lra,177
5.2.03.01,Belanja Modal Bangunan Gedung,0,rincian objek,belanja,lra,236
5.2.03.01.001,Belanja Modal Bangunan Gedung Tempat Kerja,0,rincian,belanja,lra,237
5.2.03.01.002,Belanja Modal Bangunan Gedung Kantor,0,rincian,belanja,lra,237
5.2.03.01.003,Belanja Modal Bangunan Gedung Instalasi,0,rincian,belanja,lra,237
5.2.03.01.004,Belanja Modal Bangunan Kesehatan,0,rincian,belanja,lra,237
5.2.03.01.005,Belanja Modal Bangunan Gedung Tempat Olahraga,0,rincian,belanja,lra,237
5.2.03.01.006,Belanja Modal Bangunan Terbuka,0,rincian,belanja,lra,237
5.2.03.01.007,Belanja Modal Bangunan Gedung Tempat Kerja Lainnya,0,rincian,belanja,lra,237
5.2.03.01.008,Belanja Modal Bangunan Fasilitas Umum,0,rincian,belanja,lra,237
5.2.03.01.009,Belanja Modal Bangunan Parkir,0,rincian,belanja,lra,237
5.2.03.01.010,Belanja Modal Taman,0,rincian,belanja,lra,237
5.2.03.02,Belanja Modal Tugu Titik Kontrol/Pasti,0,rincian objek,belanja,lra,236
5.2.03.02.001,Belanja Modal Pagar,0,rincian,belanja,lra,248
5.2.03.02.002,Belanja Modal Tugu/Tanda Batas Lainnya,0,rincian,belanja,lra,248
5.2.04,"Belanja Jalan, Irigasi dan Jaringan",0,jenis,belanja,lra,177
5.2.04.01,Belanja Modal Jalan,0,rincian objek,belanja,lra,251
5.2.04.01.001,Belanja Modal Jalan,0,rincian,belanja,lra,252
5.2.04.02,Belanja Modal Jembatan,0,rincian objek,belanja,lra,251
5.2.04.02.001,Belanja Modal Jembatan,0,rincian,belanja,lra,254
5.2.04.03,Belanja Modal Bangunan Air,0,rincian objek,belanja,lra,251
5.2.04.03.001,Belanja Modal Bangunan Air,0,rincian,belanja,lra,256
5.2.04.04,Belanja Modal Instalasi,0,rincian objek,belanja,lra,254
5.2.04.04.001,Belanja Modal Instalasi Air Kotor,0,rincian,belanja,lra,258
5.2.04.05,Belanja Modal Jaringan,0,rincian objek,belanja,lra,254
5.2.04.05.001,Belanja Modal Jaringan Listrik,0,rincian,belanja,lra,260
5.2.04.05.002,Belanja Modal Jaringan Telpon,0,rincian,belanja,lra,260
5.2.04.05.003,Belanja Modal Jaringan Gas,0,rincian,belanja,lra,260
5.2.04.05.004,Belanja Modal Jaringan Distribusi,0,rincian,belanja,lra,260
5.2.05,Belanja Aset Tetap Lainnya,0,jenis,belanja,lra,177
5.2.05.01,Belanja Modal Bahan Perpustakaan,0,rincian objek,belanja,lra,265
5.2.05.01.001,Belanja Modal Buku,0,rincian,belanja,lra,266
5.2.05.02,Belanja Modal Aset Tak berwujud,0,rincian objek,belanja,lra,265
5.2.05.02.001,Belanja Modal Software,0,rincian,belanja,lra,268
